IT_NO ID TOTAL_ASSETS LIQUIDITY HOUSING_VALUE LABOUR_INCOME BENEFITS CAPITAL_INCOME MORTGAGES HOUSING_PAYMENT EQUITY
1 238 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 239 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 240 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 241 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 242 516.697768 15.000000 500.000000 10.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 243 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 244 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 245 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 246 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 247 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 248 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 249 516.697768 15.000000 500.000000 10.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 250 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 251 516.697768 15.000000 500.000000 10.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 252 516.697768 15.000000 500.000000 10.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 253 516.697768 15.000000 500.000000 10.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 254 516.697768 15.000000 500.000000 10.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 255 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 256 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 257 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 258 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 259 516.697768 15.000000 500.000000 10.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 260 516.697768 15.000000 500.000000 10.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 261 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 262 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 263 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 264 516.697768 15.000000 500.000000 10.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 265 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 266 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 267 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 268 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 269 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 270 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 271 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 272 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 273 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 274 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 275 516.697768 15.000000 500.000000 10.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 276 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 277 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 278 516.697768 15.000000 500.000000 10.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 279 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 280 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 281 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 282 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 283 516.697768 15.000000 500.000000 10.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 284 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 285 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 286 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 287 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 288 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 289 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 290 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 291 516.697768 15.000000 500.000000 10.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 292 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 293 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 294 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 295 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 296 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 297 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 298 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 299 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 300 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 301 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 302 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 303 516.697768 15.000000 500.000000 10.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 304 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 305 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 306 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 307 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 308 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 309 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
1 310 516.697768 15.000000 500.000000 15.000000 0.000000 1.697768 257.500000 2.050968 259.197768
