IT_NO ID DIVIDENDS_PAID DIVIDENDS_TO_BE_PAID
1921 17 39.874668 39.874668
1921 14 26.127813 26.127813
1921 15 72.606077 72.606077
1921 16 32.287091 32.287091
1921 10 42.488472 42.488472
1921 11 43.279547 43.279547
1921 25 43.203843 43.203843
1921 8 42.281191 42.281191
1921 21 35.379668 35.379668
1921 28 116.829737 116.829737
1981 19 110.981237 110.981237
1981 16 146.121145 146.121145
1981 10 110.749218 110.749218
1981 21 98.513413 98.513413
1981 14 128.894314 128.894314
1981 25 70.697196 70.697196
1981 24 39.797628 39.797628
1981 30 17.253395 17.253395
1981 17 67.430557 67.430557
1981 9 75.010489 75.010489
1981 12 104.350082 104.350082
1981 23 126.338707 126.338707
1981 28 60.459545 60.459545
1981 15 41.468582 41.468582
1981 11 43.594969 43.594969
1981 27 67.563409 67.563409
1981 8 77.528077 77.528077
1981 29 147.844230 147.844230
1981 18 90.779714 90.779714
1981 13 76.664171 76.664171
1981 22 50.412428 50.412428
1981 20 104.263541 104.263541
1981 7 53.331336 53.331336
1981 26 72.544290 72.544290
2041 20 125.022733 125.022733
2041 19 43.943340 43.943340
2041 21 45.357975 45.357975
2041 14 40.381156 40.381156
2041 30 102.088795 102.088795
2041 13 61.395580 61.395580
2041 18 46.244823 46.244823
2041 29 29.839415 29.839415
2041 12 34.991908 34.991908
2041 9 45.662444 45.662444
2041 24 46.647043 46.647043
2041 25 41.289233 41.289233
2041 10 29.630192 29.630192
2041 16 26.652411 26.652411
2041 17 47.991229 47.991229
2041 28 42.201960 42.201960
2041 15 48.272866 48.272866
2041 23 62.207102 62.207102
2041 26 33.585809 33.585809
2041 27 50.886311 50.886311
2041 8 48.023303 48.023303
2041 7 93.166998 93.166998
2041 11 69.519921 69.519921
2041 22 154.936727 154.936727
2101 17 45.179092 45.179092
2101 19 99.241047 99.241047
2101 29 103.906153 103.906153
2101 24 11.426592 11.426592
2101 15 32.417996 32.417996
2101 27 86.723775 86.723775
2101 22 72.014502 72.014502
2101 25 65.159613 65.159613
2101 9 60.362703 60.362703
2101 26 23.538175 23.538175
2101 10 60.835799 60.835799
2101 18 66.670188 66.670188
2101 16 66.887262 66.887262
2101 7 69.490098 69.490098
2101 23 42.600307 42.600307
2101 14 40.144868 40.144868
2101 20 37.899200 37.899200
2101 21 44.896486 44.896486
2101 13 14.669907 14.669907
2101 12 59.717353 59.717353
2101 28 19.770036 19.770036
2101 11 92.267783 92.267783
2101 8 115.554846 115.554846
2101 30 0.000000 0.000000
2161 9 125.110374 125.110374
2161 30 190.963565 190.963565
2161 10 77.677704 77.677704
2161 13 154.138631 154.138631
2161 21 40.340337 40.340337
2161 14 39.840779 39.840779
2161 16 47.688694 47.688694
2161 25 62.465226 62.465226
2161 29 33.205679 33.205679
2161 18 47.471619 47.471619
2161 12 90.916059 90.916059
2161 23 71.723451 71.723451
2161 11 53.676665 53.676665
2161 22 41.398431 41.398431
2161 7 30.869916 30.869916
2161 20 21.711247 21.711247
2161 8 53.554480 53.554480
2161 27 64.117159 64.117159
2161 17 127.504129 127.504129
2161 19 28.764139 28.764139
2161 28 126.072875 126.072875
2161 15 131.587952 131.587952
2161 24 148.319463 148.319463
2161 26 142.295812 142.295812
2221 20 133.606440 133.606440
2221 17 103.843099 103.843099
2221 30 90.413078 90.413078
2221 24 75.955241 75.955241
2221 12 79.730743 79.730743
2221 25 84.382862 84.382862
2221 10 79.601156 79.601156
2221 28 75.961698 75.961698
2221 27 81.963526 81.963526
2221 19 45.585745 45.585745
2221 23 52.684714 52.684714
2221 13 45.720430 45.720430
2221 14 109.074922 109.074922
2221 9 41.057089 41.057089
2221 8 50.065596 50.065596
2221 26 42.320883 42.320883
2221 15 69.597446 69.597446
2221 22 109.686393 109.686393
2221 7 128.765802 128.765802
2221 11 71.146488 71.146488
2221 21 153.262857 153.262857
2221 18 119.511765 119.511765
2221 16 119.728839 119.728839
2221 29 82.417494 82.417494
2281 21 46.044257 46.044257
2281 16 48.262243 48.262243
2281 11 47.738494 47.738494
2281 15 50.672154 50.672154
2281 8 54.335962 54.335962
2281 13 52.796475 52.796475
2281 19 38.274750 38.274750
2281 30 44.694009 44.694009
2281 24 47.144684 47.144684
2281 25 39.366564 39.366564
2281 22 47.037797 47.037797
2281 7 46.987422 46.987422
2281 20 30.422032 30.422032
2281 10 43.894108 43.894108
2281 18 48.045168 48.045168
2281 17 43.409949 43.409949
2281 12 41.501216 41.501216
2281 28 47.151141 47.151141
2281 23 61.090676 61.090676
2281 14 39.119826 39.119826
2281 9 46.199499 46.199499
2281 26 48.089656 48.089656
2281 29 38.844745 38.844745
2281 27 0.000000 0.000000
2341 24 99.383652 99.383652
2341 7 117.678374 117.678374
2341 16 86.093379 86.093379
2341 30 85.463871 85.463871
2341 15 69.010979 69.010979
2341 27 229.406654 229.406654
2341 19 158.055343 158.055343
2341 21 69.219946 69.219946
2341 11 89.420106 89.420106
